Date_time,Open,High,Low,Close
2016-08-31,18896.5,19546.35,18443.65,19531.25
2016-09-30,19595.9,20575.8,19061.4,19233.05
2016-10-31,19116.0,19915.6,18824.85,19499.25
2016-11-30,19578.6,20306.45,18187.5,18244.55
2016-12-31,18306.1,18738.75,17608.35,18149.5
2017-01-31,18242.3,19794.9,17831.75,19590.3
2017-02-28,19533.2,21031.65,19435.75,20599.15
2017-03-31,20632.85,21690.9,20423.7,21559.05
2017-04-30,21551.85,22382.05,21390.25,22349.15
2017-05-31,22412.55,23463.1,22240.6,23318.25
2017-06-30,23321.2,23896.9,23056.4,23183.7
2017-07-31,23137.25,25030.4,22998.05,24806.9
2017-08-31,24880.6,25196.45,23854.6,24321.6
2017-09-30,24354.35,25104.9,23613.2,24026.4
2017-10-31,24200.6,25177.35,23914.05,25005.35
2017-11-30,25042.1,25953.5,24949.25,25768.55
2017-12-31,25693.8,25779.05,24617.15,25530.55
2018-01-31,25565.75,27651.35,25234.65,27268.5
2018-02-28,27136.25,27612.4,24782.1,25383.85
2018-03-31,25116.25,25225.3,23605.9,24306.1
2018-04-30,24235.65,25440.85,24065.45,25432.1
2018-05-31,25490.15,26971.2,25469.65,26336.75
2018-06-30,26587.0,27162.65,26072.6,26360.9
2018-07-31,26364.45,27870.55,26061.75,27815.2
2018-08-31,27797.2,28386.7,27330.45,28106.9
2018-09-30,27998.0,28199.45,24678.85,25133.75
2018-10-31,24943.9,25903.15,24244.85,24807.2
2018-11-30,24823.8,27003.05,24528.85,26943.7
2018-12-31,27009.3,27368.9,25601.75,27120.75
2019-01-31,27267.8,27752.95,26443.7,26831.45
2019-02-28,26969.15,27588.5,26617.7,26778.3
2019-03-31,26878.0,30498.15,26763.45,30383.2
2019-04-30,30537.6,30656.5,29437.1,29980.8
2019-05-31,29920.4,31711.3,28526.1,31563.0
2019-06-30,31678.9,31782.4,30221.3,31121.6
2019-07-31,31271.0,31658.1,28739.5,28758.75
2019-08-31,28575.45,28974.2,26563.1,27485.55
2019-09-30,27239.2,30795.0,26642.6,29886.2
2019-10-31,29674.8,30147.8,27571.2,29990.4
2019-11-30,30168.65,32155.75,29990.9,31926.3
2019-12-31,32008.3,32611.2,30997.85,32372.1
2020-01-31,32345.95,32463.1,30522.05,30620.0
2020-02-29,30950.5,31598.55,29053.4,29191.4
2020-03-31,29701.0,29778.65,16118.1,18763.25
2020-04-30,19307.65,21345.5,17149.85,20982.7
2020-05-31,21589.2,21966.65,17108.35,19212.45
2020-06-30,19728.9,22479.35,19510.35,21370.25
2020-07-31,21524.3,23208.4,21028.0,21652.95
2020-08-31,21730.55,24608.7,21034.0,24577.0
2020-09-30,25038.8,25228.5,20407.45,21436.15
2020-10-31,21405.25,24821.45,21129.25,23898.85
2020-11-30,24367.6,30196.75,24128.65,29584.55
2020-12-31,29844.8,31505.55,28977.65,31259.25
2021-01-31,31295.9,32841.35,29694.95,30612.8
2021-02-28,30976.35,37703.05,30909.2,34849.4
2021-03-31,35374.25,36497.35,32420.55,33893.55
2021-04-30,33764.8,34284.85,30407.9,33664.2
2021-05-31,33112.4,35434.65,31921.65,35215.7
2021-06-30,35097.45,35804.35,33915.15,35011.85
2021-07-31,35001.9,35984.65,34117.7,34576.15
2021-08-31,34760.9,36397.3,34593.7,36357.3
2021-09-30,36367.4,38366.55,36153.6,37741.8
2021-10-31,37677.8,41827.65,36894.85,39270.55
2021-11-30,39432.15,40160.2,35341.75,35934.7
2021-12-31,35958.8,37579.5,34020.25,35131.1
2022-01-31,35114.4,38852.5,35114.4,37687.5
2022-02-28,38091.8,39419.9,35002.1,36485.4
2022-03-31,35938.95,36822.2,32159.3,36324.35
2022-04-30,36457.2,38762.75,35533.05,36063.75
2022-05-31,35627.6,36302.45,33009.05,35832.05
2022-06-30,35615.3,35952.8,32298.0,33239.25
2022-07-31,33180.7,37737.9,33082.45,37486.0
2022-08-31,37594.15,39750.9,37252.7,39520.35
2022-09-30,38806.7,41834.55,37537.1,37695.3
2022-10-31,37660.0,41513.65,37391.3,41034.55
2022-11-30,41265.7,43338.3,40848.8,43045.3
2022-12-31,43122.75,44151.5,41571.95,43038.5
2023-01-31,43038.25,43577.35,39421.1,40467.3
2023-02-28,40563.85,42011.2,39501.35,40355.85
2023-03-31,40302.7,41667.8,38617.8,40013.3
2023-04-30,40231.25,42603.55,40205.6,42151.1
