,date,open,High,low,close,signal
16204,2018-05-27 01:15:00,,,,,Short
16205,2018-05-27 05:15:00,,,,,Short
16206,2018-05-27 09:15:00,,,,,Short
16207,2018-05-27 13:15:00,,,,,Short
16208,2018-05-27 17:15:00,,,,,Short
16209,2018-05-27 21:15:00,,,,,Short
16210,2018-05-28 01:15:00,,,,,Short
16211,2018-05-28 05:15:00,,,,,Short
16212,2018-05-28 09:15:00,26291.65,26640.0,26289.35,26630.7,Short
16213,2018-05-28 13:15:00,26633.5,26712.05,26573.1,26585.65,Short
16214,2018-05-28 17:15:00,,,,,Short
16215,2018-05-28 21:15:00,,,,,Short
16216,2018-05-29 01:15:00,,,,,Short
16217,2018-05-29 05:15:00,,,,,Short
16218,2018-05-29 09:15:00,26567.25,26570.05,26368.95,26405.15,Short
16219,2018-05-29 13:15:00,26403.7,26430.3,26221.5,26237.65,Short
16220,2018-05-29 17:15:00,,,,,Short
16221,2018-05-29 21:15:00,,,,,Short
16222,2018-05-30 01:15:00,,,,,Short
16223,2018-05-30 05:15:00,,,,,Short
16224,2018-05-30 09:15:00,26039.9,26402.3,25985.35,26389.8,Short
16225,2018-05-30 13:15:00,26387.05,26395.3,26137.05,26336.75,Short
16226,2018-05-30 17:15:00,,,,,Short
16227,2018-05-30 21:15:00,,,,,Short
16228,2018-05-31 01:15:00,,,,,Short
16229,2018-05-31 05:15:00,,,,,Short
16230,2018-05-31 09:15:00,26587.0,26645.75,26355.05,26535.55,Short
16231,2018-05-31 13:15:00,26534.95,27162.65,26494.15,26874.4,Short
16232,2018-05-31 17:15:00,,,,,Short
16233,2018-05-31 21:15:00,,,,,Short
16234,2018-06-01 01:15:00,,,,,Short
16235,2018-06-01 05:15:00,,,,,Short
16236,2018-06-01 09:15:00,26913.4,26995.9,26699.05,26709.05,Short
16237,2018-06-01 13:15:00,26711.8,26856.85,26661.6,26676.35,Short
16238,2018-06-01 17:15:00,,,,,Short
16239,2018-06-01 21:15:00,,,,,Short
16240,2018-06-02 01:15:00,,,,,Short
16241,2018-06-02 05:15:00,,,,,Short
16242,2018-06-02 09:15:00,,,,,Short
16243,2018-06-02 13:15:00,,,,,Short
16244,2018-06-02 17:15:00,,,,,Short
16245,2018-06-02 21:15:00,,,,,Short
16246,2018-06-03 01:15:00,,,,,Short
16247,2018-06-03 05:15:00,,,,,Short
16248,2018-06-03 09:15:00,,,,,Short
16249,2018-06-03 13:15:00,,,,,Short
16250,2018-06-03 17:15:00,,,,,Short
16251,2018-06-03 21:15:00,,,,,Short
16252,2018-06-04 01:15:00,,,,,Short
16253,2018-06-04 05:15:00,,,,,Short
16254,2018-06-04 09:15:00,27023.7,27031.55,26367.5,26391.5,Short
16255,2018-06-04 13:15:00,26392.05,26434.85,26207.2,26265.25,Short
16256,2018-06-04 17:15:00,,,,,Short
16257,2018-06-04 21:15:00,,,,,Short
16258,2018-06-05 01:15:00,,,,,Short
16259,2018-06-05 05:15:00,,,,,Short
16260,2018-06-05 09:15:00,26263.0,26341.6,26072.6,26217.6,Short
16261,2018-06-05 13:15:00,26217.15,26278.05,26091.2,26263.75,Short
16262,2018-06-05 17:15:00,,,,,Short
16263,2018-06-05 21:15:00,,,,,Short
16264,2018-06-06 01:15:00,,,,,Short
16265,2018-06-06 05:15:00,,,,,Short
16266,2018-06-06 09:15:00,26266.9,26343.75,26180.65,26279.55,Short
16267,2018-06-06 13:15:00,26279.55,26422.7,26149.35,26373.1,Short
16268,2018-06-06 17:15:00,,,,,Short
16269,2018-06-06 21:15:00,,,,,Short
16270,2018-06-07 01:15:00,,,,,Short
16271,2018-06-07 05:15:00,,,,,Short
16272,2018-06-07 09:15:00,26577.95,26753.4,26542.65,26747.15,Short
16273,2018-06-07 13:15:00,26748.45,26766.2,26488.5,26523.25,Short
16274,2018-06-07 17:15:00,,,,,Short
16275,2018-06-07 21:15:00,,,,,Short
16276,2018-06-08 01:15:00,,,,,Short
16277,2018-06-08 05:15:00,,,,,Short
16278,2018-06-08 09:15:00,26457.25,26457.35,26285.15,26363.7,Short
16279,2018-06-08 13:15:00,26365.2,26480.6,26335.2,26447.2,Short
